# packages in environment at /home/rodrimfg/softwere/mambaforge/envs/sage:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
alabaster                 0.7.12                     py_0    conda-forge
alsa-lib                  1.2.6.1              h7f98852_0    conda-forge
anyio                     3.6.1            py39hf3d152e_0    conda-forge
arb                       2.22.1               hbbd85db_0    conda-forge
argon2-cffi               21.3.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0           py39hb9d737c_2    conda-forge
arpack                    3.7.0                hdefa2d7_2    conda-forge
attrs                     22.1.0             pyh71513ae_0    conda-forge
autoconf                  2.69            pl5321hd708f79_11    conda-forge
automake                  1.16.5          pl5321ha770c72_0    conda-forge
babel                     2.10.3             pyhd8ed1ab_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.4              pyhd8ed1ab_0    conda-forge
bdw-gc                    8.0.6                h4bd325d_0    conda-forge
beautifulsoup4            4.11.1             pyha770c72_0    conda-forge
beniget                   0.4.1              pyhd8ed1ab_0    conda-forge
binutils_impl_linux-64    2.36.1               h193b22a_2    conda-forge
binutils_linux-64         2.36                hf3e587d_10    conda-forge
blas-devel                3.9.0           15_linux64_openblas    conda-forge
bleach                    3.3.1              pyhd8ed1ab_0    conda-forge
brial                     1.2.10             pyh8af1aa0_0    conda-forge
brotli                    1.0.9                h166bdaf_7    conda-forge
brotli-bin                1.0.9                h166bdaf_7    conda-forge
brotlipy                  0.7.0           py39hb9d737c_1004    conda-forge
bwidget                   1.9.14               ha770c72_1    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.18.1               h7f98852_0    conda-forge
ca-certificates           2022.6.15            ha878542_0    conda-forge
cairo                     1.16.0            ha61ee94_1011    conda-forge
cddlib                    1!0.94m              h9202a9a_0    conda-forge
certifi                   2022.6.15        py39hf3d152e_0    conda-forge
cffi                      1.15.1           py39he91dace_0    conda-forge
charset-normalizer        2.1.0              pyhd8ed1ab_0    conda-forge
cliquer                   1.22                 h36c2ea0_0    conda-forge
colorama                  0.4.5              pyhd8ed1ab_0    conda-forge
cryptography              37.0.4           py39hd97740a_0    conda-forge
curl                      7.83.1               h7bff187_0    conda-forge
cvxopt                    1.3.0            py39h751e006_1    conda-forge
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
cypari2                   2.1.2            py39heacb60e_5    conda-forge
cysignals                 1.11.2           py39hadcdca9_0    conda-forge
cython                    0.29.32          py39h5a03fae_0    conda-forge
debugpy                   1.6.0            py39h5a03fae_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
docutils                  0.17.1           py39hf3d152e_2    conda-forge
dsdp                      5.8               hd9d9efa_1203    conda-forge
ecl                       21.2.1               h9d73b02_2    conda-forge
eclib                     20210625             h52f5ea4_4    conda-forge
ecm                       7.0.4             h9202a9a_1002    conda-forge
entrypoints               0.4                pyhd8ed1ab_0    conda-forge
expat                     2.4.8                h27087fc_0    conda-forge
fflas-ffpack              2.4.3                h912ac81_2    conda-forge
fftw                      3.3.10          nompi_h77c792f_102    conda-forge
